Text,GPT,Gemini,Deepseek,p1_Reasoning,p2_Reasoning,p3_Reasoning
public buijja geche tora sab bat-par,Social / Personal,NO,NO,NO,NO,Political
hijray ki bole dekh,Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse
awamiligara ture pun marche?,Political,Political,Political,Political,NO,Political
"Ai buira mohila o nki Rape ar mamla dey, R Bangladesh ar police sei mamla ney",Gender Abuse,Gender Abuse,Gender,Racism,Social / Personal,Political
kono vodro ghorer shontan awami korte pare na,Political,Political,Social / Personal,Political,Political,NO
Last 17 bochor tow bal felaisen apnara ghore bose..,Political,NO,NO,Political,Social / Personal,NO
khanki magi tor sasos koto boro..amar r amar arafat ar modha..prbml create korta chas.. tor magi giri onno karo oporar kris..amar jamai ar opor nah..,Gender Abuse,Gender Abuse,Gender Abuse,Gender Abuse,Social / Personal,Gender Abuse
9 bochhor training prapto RAW er agent,NO,Geopolitical,Geopolitical,NO,Gender Abuse,NO
jamat dhongsho carlow dharma. yunus dhongsho carlow desh. shiksha dhongsho carlow samanvayakara.,Political,Social / Personal,Religious,NO,NO,NO
Baal er hijaf poro tumi,Gender Abuse,Religious,Religious,Racism,Social / Personal,Gender Abuse
eto kichhu na kore bigoto 16 bochhore dudu vai ekta gono prosrab kormoshuchir daak dilei parto,Political,Political,NO,NO,NO,NO
"tui fakinnir baccha, tui aage janti na, balad choda lock, ore jakhan khaili takhan cayman lagchilo",Gender Abuse,Social / Personal,Gender Abuse,Gender Abuse,Social / Personal,Gender Abuse
"Ore sbar khate jaoyar permission deya hok,, taile o r boissommer shikar hbe na🤣🤣",Gender Abuse,Social / Personal,NO,Political,Gender Abuse,Gender Abuse
Bangladesh ❌ Bokacoda desh ✅,Geopolitical,Geopolitical,Geopolitical,Political,Geopolitical,Geopolitical
shangbadik hasinar dalal,Political,Political,Political,Political,Political,Political
Omanush ekta...vabsilam nuntomo shikkha-dikkha ache...oitao nai,Social / Personal,NO,NO,NO,Social / Personal,Social / Personal
shontrashi tare cute lagtese,NO,NO,NO,NO,Social / Personal,NO
ekushey channel er nam change kore dewa uchit fekushey,Political,NO,Political,NO,Political,NO
manush eto omanush hoy kivabe?,NO,NO,NO,NO,Social / Personal,Social / Personal
Maf korum na batpar,NO,NO,NO,Social / Personal,NO,NO
Eisob sauar pola go laiga rajniti hedar* bhitre...,Political,Social / Personal,Political,Social / Personal,Political,Political
Choto baccahr kace gali sunte vlo eyy lagce or...!,Social / Personal,NO,NO,Social / Personal,NO,NO
sexmujib er name nai ken!,Political,Political,Political,NO,Gender Abuse,Political
"Tor,maka,TUi,sod",NO,Social / Personal,Social / Personal,Social / Personal,Gender Abuse,Social / Personal
Chunni.  Do not show  her face in fb.,Social / Personal,Social / Personal,Gender Abuse,Social / Personal,Social / Personal,Social / Personal
Ei shalarput amr ex er best friend chilo,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
Natok bad den aj ei obosta er jonno apnara dyee,Political,NO,NO,NO,NO,Social / Personal
bangladesher khabar ananda bazar bedona duhkh koshto hotasha nia chapay.,Geopolitical,NO,Geopolitical,NO,NO,NO
He ki manush ar jater ni kuttar baccha,Racism,Racism,Racism,Social / Personal,Social / Personal,Social / Personal
Tr to nijer e bici nai,Gender Abuse,Gender Abuse,NO,Social / Personal,Gender Abuse,Gender Abuse
Mc er bari koi 🤬😡🤬,NO,Social / Personal,Social / Personal,Geopolitical,NO,Social / Personal
Eta 100% sure bhadro masher kutta'r baccha.,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
"Keu hotash hoben na karon hujur makhraj o sifat shoho aday kore English uccharon kortese, keu hasben na 🫣🫣",Religious,NO,Religious,Social / Personal,Religious,NO
Magir putere policer hate na toilla pabliker kache dewa hok,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Racism
Tor bap Awamilig.,Political,NO,Political,Political,NO,Political
Egula kivabe je Doulatdia theke palaiya asiyache... Doulodia thanar OC sahebke suspend kora uchit.,Geopolitical,NO,NO,Racism,NO,Gender Abuse
Hujurgula Allah'r naam bad diya ekhon khali Awami League Awami League jikir pare. 😂😂😂,Religious,Political,Political,Religious,NO,Religious
Kuttar bacha manush hoilo na amgo ijjot r rhaklo na shob gular shasti chay dhorkar porle 2 gramer shob gulare shasti hok,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Geopolitical,Social / Personal
nesha khor er moto cehara niye manus k bichar korte ase,Social / Personal,Social / Personal,Social / Personal,Racism,Social / Personal,Social / Personal
Madarchod ai kuttar bacha ke pakistan pathanor babostha kora hok,Geopolitical,Political,Geopolitical,Political,Geopolitical,Political
Kichu manushke thik ebhabey tha-praite parle khub bhalolagto..,NO,Social / Personal,NO,Social / Personal,Social / Personal,Social / Personal
Seriously!!! Koto cheap lok! Eijonnoi to education r family status dorkar.,Social / Personal,NO,Social / Personal,Social / Personal,NO,Social / Personal
NCP = Notional condom party,Political,Political,Political,Social / Personal,NO,Political
Baby Tariq X Baby Joy. Two babys corrupted by their mommys' poison milk.,Political,Social / Personal,Religious,Social / Personal,Political,Geopolitical
Tor heda,NO,Social / Personal,NO,Social / Personal,Social / Personal,NO
Bd er moton ajaira public kothao nai… not even in india,Geopolitical,Social / Personal,Geopolitical,NO,Political,Social / Personal
Tui tokai tor choddo gushti tokai,Social / Personal,Social / Personal,NO,Social / Personal,Social / Personal,Social / Personal
"phensedyl khor atril, tar bondhu , insomniac jawad, booba jeen e akranto hoie dekhlo arek Neshakhor tahmid ekakitte train er nari dekhche .",Social / Personal,NO,Social / Personal,Social / Personal,NO,Social / Personal
"Jegechere jegechere 500 takar kamlara, rastaghat bondho kore jegeche, shadharôn manushke bhoganti korte jegeche.",Political,Social / Personal,Social / Personal,NO,Political,Political
Brikrito mostishko,NO,NO,NO,NO,Social / Personal,Social / Personal
Dhonnobad mugdho panir bottle kobor theke uthe esheche.,NO,NO,Religious,Social / Personal,Religious,Political
facist govt er oshikkhito lok der theke bhalo ki asha kora jai chotka? lol 15 bochor porashuna korenai... dokane khali editing shikhlo..,Political,Political,Political,NO,Political,Political
Musolman shomprodayer Bhagoban 🤣,Religious,Religious,Religious,Religious,Religious,Social / Personal
"gaja khor,magibaji,casino jader nesha tader jonno egula suta ghotona, bichar Prokiyadhin inshallah ektaw sar pabena",Social / Personal,Social / Personal,Religious,Geopolitical,NO,Religious
Neta giri hoga die bhore daw halay fensi khaite gesilo,Political,Political,Political,Political,Political,Political
tui to ekta pure harami.....tor moto luicha....na thak Bhalo kisui likhi tor birthday jehetu..,NO,NO,Social / Personal,NO,Social / Personal,Social / Personal
ei bostire kibria vai ante gelo ken,NO,NO,Social / Personal,Racism,Social / Personal,Social / Personal
Saddam bhai cooks mAgi noodles,NO,NO,NO,Social / Personal,Social / Personal,Gender Abuse
Kire Hasnat Abdullah ganja khais na mod khais?,NO,Social / Personal,Social / Personal,Political,Social / Personal,Social / Personal
Khomotar lobh samal dite parchena.,NO,NO,NO,Political,Political,Political
"Resign kor bhai, apnar theke bhalo lo amar bashar buyao bujhe.",NO,NO,Social / Personal,Social / Personal,Social / Personal,Social / Personal
Rumin Farhana bujhte parlo ar sangbadik hoye bujhlen na? Byaparta kemon holo? Ekhane apni sangbadik hoye marata khelcen ar ki 🤣.,NO,NO,Political,Political,Social / Personal,Political
Terrorist der human rights ase je jantam na,NO,NO,Geopolitical,Social / Personal,Racism,Racism
"Natok korar jaiga pai na...ai mohila nijei to tader relation er bepare konodin sotti kotha bole nai...tar aktai uttor, a beppar a ami kisu bolte chai na,pore janabo,secret ai sei...r akhon abar onno kotha.uchit shikkha hoise,faltu mohila akta",Gender Abuse,Social / Personal,Gender Abuse,Social / Personal,Geopolitical,Social / Personal
Tora desh dhongser karigor.,Political,Political,Political,Geopolitical,Racism,NO
Tor chokh tera,Social / Personal,NO,Social / Personal,Social / Personal,Religious,Racism
Ay tv channel gulo r kono kaj nai akta vlo news kor asob tokay k niya ki kore,NO,NO,NO,Social / Personal,NO,Social / Personal
Tui putki mara kala,Social / Personal,Social / Personal,Racism,Social / Personal,Geopolitical,Social / Personal
ore amr kase niya aishen ore sep chhara goa mara uchit,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal,Social / Personal
