Text,GPT,Gemini,Deepseek,p1_Reasoning,p2_Reasoning,p3_Reasoning
public buijja geche tora sab bat-par,Social/Personal ,NO,NO,NO  ,NO,Political
Vai page er malik tore samne paile ki j kortam.,Social/Personal ,NO,NO,Social/Personal  ,Violence,Social/Personal
hijray ki bole dekh,Gender,Gender,Gender,Gender abuse,Gender abuse,Gender 
awamiligara ture pun marche?,Political ,Political,Political ,   Political  ,NO,Political
"Ai buira mohila o nki Rape ar mamla dey, R Bangladesh ar police sei mamla ney",Gender,Gender ,Gender,  Racism,Social/Personal,Political
kono vodro ghorer shontan awami korte pare na,Political ,Political,Social/Personal,Political,Political,NO
 Last 17 bochor tow bal felaisen apnara ghore bose..,Political ,NO,NO,Political,Slang,NO
khanki magi tor sasos koto boro..amar r amar arafat ar modha..prbml create korta chas.. tor magi giri onno karo oporar kris..amar jamai ar opor nah..,Gender,Gender,Gender,Gender abuse,Slang,Gender 
9 bochhor training prapto RAW er agent,NO,Geopolitical ,Geopolitical ,NO,Gender abuse,NO
jamat dhongsho carlow dharma. yunus dhongsho carlow desh. shiksha dhongsho carlow samanvayakara.,Political  ,Social / Personal,Religious,NO,NO,NO
Baal er hijaf poro tumi,Gender,Religious,Religious,Racism,Social/Personal,Gender 
eto kichhu na kore bigoto 16 bochhore dudu vai ekta gono prosrab kormoshuchir daak dilei parto,Political ,Political,NO,NO,NO,NO
"tui fakinnir baccha, tui aage janti na, balad choda lock, ore jakhan khaili takhan cayman lagchilo",Gender,Social / Personal,Gender,Gender abuse,Social/Personal,Gender
"Ore sbar khate jaoyar permission deya hok,, taile o r boissommer shikar hbe na🤣🤣",Gender,Social / Personal,NO,Political,Gender abuse,Gender 
Bangladesh ❌ Bokacoda desh ✅,Geopolitical ,Geopolitical ,Geopolitical ,Political,Geopolitical,Geopolitical
shangbadik hasinar dalal,Political ,Political,Political ,Political,Political,Political
Omanush ekta...vabsilam nuntomo shikkha-dikkha ache...oitao nai,Social/Personal ,NO,NO,NO,Social/ Personal,Social/ Personal
shontrashi tare cute lagtese ,NO ,NO,NO,NO,Social/ Personal,NO
ekushey channel er nam change kore dewa uchit fekushey,Political ,NO,Political ,NO,Political,NO
manush eto omanush hoy kivabe?,NO,NO,NO,NO,Social/ Personal,Social/ Personal
Maf korum na batpar,No,NO,No,Social/ Personal ,No,
Eisob sauar pola go laiga rajniti hedar* bhitre...,Political ,Social/ Personal ,Political ,Social/ Personal ,Political ,Political 
Choto baccahr kace gali sunte vlo eyy lagce or...!,Social/personal ,NO,No,Social/ Personal ,No,No
sexmujib er name nai ken!,Political ,Political ,Political ,No,Sexual,Political 
"Tor,maka,TUi,sod",No,Social/ Personal ,Social/ Personal ,Social/ Personal ,Sexual ,Social/ Personal 
Chunni.  Do not show  her face in fb.,Social/ personal ,Social/ Personal ,Gender ,Social/ personal ,Social/ personal ,Social/ personal 
Ei shalarput amr ex er best friend chilo,No,Social/ Personal ,Social/ Personal ,Social/ personal ,Social/ personal ,Social/ personal 
Natok bad den aj ei obosta er jonno apnara dyee,Political ,NO,No,No,No,Social/ personal 
bangladesher khabar ananda bazar bedona duhkh koshto hotasha nia chapay.,Geopolitical ,No,Geopolitical ,No,No,No
